书名,出版信息,当前价格,星级,评论数
 机器学习精讲,（加拿大） 安德烈?布可夫（Andriy Burkov） /2020-01-01  /人民邮电出版社有限公司,?44.16,width: 30%;,85条评论
 Kubeflow: 云计算和机器学习的桥梁 ,何金池 等 /2020-08-01  /电子工业出版社,?39.50,width: 0%;,2条评论
 机器学习技术与实战：医学大数据深度应用,（加）洪松林（Hong Song Lin） /2018-04-01  /机械工业出版社,?45.00,width: 0%;,82条评论
 PyTorch机器学习从入门到实战 PyTorch，机器学习,校宝在线 孙琳 蒋阳波 汪建成 项斌 /2018-10-30  /机械工业出版社,?46.60,width: 90%;,394条评论
" 学习记忆与机器学习实验原理 多学科交叉融合,高水平研究生教材","施静,王天江,田波 /2019-08-15  /华中科技大学出版社",?31.70,width: 0%;,7条评论
 R统计高级编程和数据模型 分析、机器学习和可视化 是一本专家指南，介绍如何将机器学习算法应用到统计分析中，如何用统计分析方法解决一些实际问题。,[美]马特?威利(Matt Wiley)，[美]约书亚?F.威利(Joshua F. Wiley) 著；{ /2020-07-01  /清华大学出版社,?64.00,width: 100%;,1条评论
 Python机器学习 5个数据科学家案例解析 ,[美]达西?哈龙（Danish Haroon）著 潘海为 /2018-09-05  /清华大学出版社,?22.40,width: 90%;,272条评论
 基于H2O的机器学习实用方法：一种强大的可扩展的人工智能和深度学习技术 ,达伦.库克 /2018-07-04  /机械工业出版社,?54.50,width: 0%;,36条评论
 AI前沿深度强化学习与分布式机器学习 套装共2册 微软亚洲研究院机器学习研究团队所著，刘铁岩博士领衔撰写！全面阐述分布式机器学习算法、理论及实践的著作。全彩印刷！人工智能大牛周志华教授倾情推荐！联邦学习进阶必读,刘驰，刘铁岩，等 /2020-08-21  /机械工业出版社,?129.70,width: 0%;,0条评论
 数据产品经理高效学习手册 产品设计、技术常识与机器学习 讲述产品经理的数据产品设计思维框架和具体操作流程 带你修炼数据分析 人工智能(AI)思维数据产品经理必备技能 突破职业瓶颈,张威 /2020-04-01  /人民邮电出版社,?29.50,width: 100%;,144条评论
 机器学习实战：基于Scikit-Learn和TensorFlow,（法）奥雷利安?杰龙 /2018-07-01  /机械工业出版社,?77.35,width: 100%;,101条评论
 机器学习算法原理与编程实践,郑捷 /2015-10-01  /电子工业出版社,?43.99,width: 100%;,254条评论
 机器学习Web应用,（意） Andrea Isoni 爱索尼克  /人民邮电出版社,?35.40,width: 100%;,12条评论
 零基础学R语言数据分析:从机器学习、数据挖掘、文本挖掘到大数据分析 从机器学习、数据挖掘、文本挖掘到大数据分析,李仁钟、李秋缘 /2018-09-08  /清华大学出版社,?26.60,width: 100%;,172条评论
 机器学习从入门到入职DD用sklearn与keras搭建人工智能模型,张威 /2020-01-01  /电子工业出版社,?69.30,width: 0%;,9条评论
 Spark机器学习（影印版） ,（英）彭特里思 著 /2016-01-01  /东南大学出版社,?46.90,width: 100%;,32条评论
 机器学习实践指南DD基于R语言,（英） 尼格尔?刘易斯（N.D. Lewis） 著 /2018-04-01  /人民邮电出版社,?37.76,width: 0%;,25条评论
 R语言机器学习 机器学习技术综合指南，全面、系统阐述机器学习技术发展全貌,（印度）卡西克?拉玛苏布兰马尼安 /2018-06-13  /机械工业出版社,?78.20,width: 100%;,86条评论
 Python与机器学习 ,陈清华 /2020-03-01  /电子工业出版社,?37.40,width: 100%;,13条评论
 TinyML：基于TensorFlow Lite在Arduino和超低功耗微控制器上部署机器学习 谷歌TensorFlow团队创始成员领衔撰写，谷歌工程师翻译并审校，Arduino联合创始人、Arm副总裁联袂推荐！TinyML里程碑级著作，手把手教你在Arduino和微控制器上部署ML。,[美]皮特?沃登 著，魏兰，卜杰，王铁震 译 /2020-09-10  /机械工业出版社,?102.80,width: 0%;,0条评论
 Python机器学习 ,赵涓涓 强彦 /2019-07-15  /机械工业出版社,?62.10,width: 100%;,60条评论
 机器学习入门到实战DDMATLAB 实践应用,冷雨泉 张会文 张伟  /清华大学出版社,?35.40,width: 100%;,24条评论
 百面机器学习 算法工程师带你去面试,"诸葛越,葫芦娃 /2018-08-01  /人民邮电出版社",?14.99,width: 100%;,204条评论
 机器学习:使用OpenCV和Python进行智能图像处理 王磊 译机械工业出版社9787111611516FX 正版图书，可开发票。,王磊 译 /2018-11-01  /机械工业出版社,?76.80,width: 0%;,0条评论
 机器学习实战 人民邮电出版社 [有问题请联系在线客服],[美] Peter Harrington 著，李锐，李鹏， /2013-06-01  /人民邮电出版社,?20.80,width: 0%;,0条评论
 深入浅出：工业机器学习算法详解与实战 收录了近年来在工业界被广泛应用的机器学习算法和算法周边的一些工程架构及实现原理,张朝阳 /2020-01-10  /机械工业出版社,?54.50,width: 100%;,119条评论
 机器学习开发者指南,（阿根廷）鲁道夫?邦宁（Rodolfo Bonnin）  /人民邮电出版社有限公司,?37.76,width: 0%;,2条评论
" 机器学习导论(原书第2版) 米罗斯拉夫.库巴特,王勇 机械工业出版社 9787111605812 【正版图书，质量保证，可开发票，放心购买】","米罗斯拉夫.库巴特,王勇 /2018-10-01  /机械工业出版社",?60.00,width: 0%;,0条评论
 机器学习实践指南,"（英）阿图尔?特里帕蒂（Atul Tripathi）,王??,曹建勋 /2018-03-01  /机械工业出版社",?40.00,width: 0%;,23条评论
 OpenCV机器学习（影印版） ,Michael Beyeler /2019-05-01  /东南大学出版社,?66.10,width: 100%;,13条评论
" 机器学习实战[美] Peter Harrington,李锐,*,曲亚东 等9787115317957【新华书店,品质保 【新华书店，正版书籍,全国多仓就近发货，速度保障】","[美] Peter Harrington,李锐,李鹏,曲亚东 等 /2013-06-01  /人民邮电出版社",?57.95,width: 0%;,1条评论
 机器学习,赵卫东 董亮  /人民邮电出版社,?37.20,width: 0%;,37条评论
 Python机器学习实战 ,裔隽 著 /2018-03-01  /科学技术文献出版社,?50.90,width: 100%;,45条评论
" 机器学习与R语言实战 丘?v玮,潘怡 机械工业出版社 9787111535959 【正版图书，质量保证，可开发票，放心购买】","丘?v玮,潘怡 /2016-05-01  /机械工业出版社",?75.00,width: 0%;,1条评论
 人工智能开发实践：云端机器学习导论 不再追求人工智能项目的完美方案，而是在有限的成本、资源、技术条件下，实现能够交付于实际生产的解决方案，降低AI项目开发成本，缩短开发周期，提升工作效率。,[美]挪亚?吉夫特(Noah Gift) /2020-05-25  /机械工业出版社,?61.40,width: 0%;,11条评论
 机器学习算法框架实战：Java和Python实现,麦嘉铭  /机械工业出版社,?44.85,width: 0%;,1条评论
 机器学习线性代数基础：Python语言描述,张雨萌  /北京大学出版社,?49.00,width: 0%;,0条评论
 Azure 机器学习 来自微软的Azure机器学习专业指南 介绍如何通过实现完全托管的数据科学云服务走出预测分析解决方案的关键一步,Jeff Barnes /2018-11-01  /人民邮电出版社,?36.90,width: 0%;,56条评论
 机器学习与优化,"（意） 罗伯托?巴蒂蒂（Roberto Battiti） ,毛罗?布鲁纳托（Mauro Brunato） /2018-05-01  /人民邮电出版社",?55.48,width: 100%;,132条评论
 机器学习案例分析(基于Python语言),"王恺,闫晓玉,等 /2020-03-01  /电子工业出版社",?68.60,width: 0%;,3条评论
 机器学习互联网业务安全实践,"王帅,吴哲夫  /电子工业出版社",?89.60,width: 0%;,2条评论
 Python机器学习经典实例（影印版） ,[美] 克里斯?阿尔本 编 /2018-11-01  /东南大学出版社,?65.50,width: 100%;,42条评论
 Python数据科学与机器学习 从入门到实践 数据科学家实践指南 寓复杂问题于简单实践 轻松掌握Python数据分析和机器学习技能 深入讨论数据挖掘与人工智能相关的60多个主题 贝叶斯定理 聚类 决策树 回归分析 实验设计,[美]弗兰克?凯恩（Frank Kane） /2019-06-01  /人民邮电出版社,?48.60,width: 90%;,102条评论
 机器学习在线：解析阿里云机器学习平台,杨旭 /2017-08-01  /电子工业出版社,?47.99,width: 0%;,67条评论
 TensorFlow机器学习项目开发实战 本书几乎涵盖了目前机器学习的各个热门主题，是读者学习和掌握 TensorFlow 应用的良好助手。项目实例极具参考价值并提供详尽的源代码分析！,[印]安奇特?简恩 著 熊爱华 译 /2019-09-01  /清华大学出版社,?40.10,width: 100%;,71条评论
 程序员面试宝典：百面机器学习+百面深度学习 算法工程师带你去面试（套装2册） 人工智能时代程序员不可不读学习面试宝典，一线大厂算法工程师合力著作，套装全面收录200+真实算法面试题，浪潮之巅作者吴军推荐,诸葛越 葫芦娃 江云胜 /2020-07-01,?135.10,width: 100%;,10条评论
 Scala机器学习 全面、系统讲解使用Scala在Spark平台上实现机器学习算法的实用技术、方法和*实践。,（美）亚历克斯?科兹洛夫 /2017-07-11  /机械工业出版社,?46.60,width: 100%;,184条评论
 【全2册】图解深度学习+图解机器学习 ,暂无 /2018-05-01  /人民邮电出版社,?81.00,width: 0%;,12条评论
 机器学习之路DDCaffe、Keras、scikit-learn实战,"阿布,胥嘉幸 /2017-08-01  /电子工业出版社",?35.99,width: 100%;,167条评论
 白话机器学习算法,（新加坡） 黄莉婷 苏川集 /2019-02-01  /人民邮电出版社,?24.99,width: 100%;,239条评论
 对抗机器学习：机器学习系统中的攻击和防御,"（美）叶夫根尼?沃罗贝基克（Yevgeniy Vorobeychik）,  /机械工业出版社",?44.85,width: 0%;,68条评论
 机器学习与R语言实战,"（美）兰兹（Lantz,B.） /2015-02-01  /机械工业出版社",?25.00,width: 100%;,21条评论
 机器学习实践：测试驱动的开发方法,柯克（Matthew Kirk） /2015-08-01  /人民邮电出版社,?24.99,width: 0%;,8条评论
 智能商业：人工智能、机器学习与大数据技术的制胜之道（原书第3版） 智能时代，只有被AI赋能的企业，才能在未来商业竞争中获胜,[英]史蒂文?芬利（Steven Finlay） /2019-06-15  /机械工业出版社,?38.70,width: 100%;,136条评论
 机器学习vs复杂系统,许铁 /2018-07-01  /电子工业出版社,?38.89,width: 0%;,55条评论
 【新华书店】机器学习与R语言(原书第2版)(美)布雷特?兰茨(Brett Lantz)9787111553281 【新华书店，全新正版书籍，品质保障】,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?59.33,width: 0%;,0条评论
" 正版图书 机器学习实战 [美] Peter Harrington ,李锐,*,曲亚东,王 【正版书籍,可开发票,有问题联系在线客服】","[美] Peter Harrington ,李锐,李鹏,曲亚东,王 /2013-06-01  /人民邮电出版社",?19.25,width: 0%;,0条评论
 机器学习:从公理到算法 于剑 清华大学出版社 9787302471363 ,于剑 /2017-07-01  /清华大学出版社,?105.00,width: 0%;,0条评论
" 机器学习实战 [美] Peter Harrington ,李锐,*,曲亚东,王 人民邮电出版社 新书店购书无忧有保障！","[美] Peter Harrington ,李锐,李鹏,曲亚东,王 /2013-06-01  /人民邮电出版社",?68.00,width: 0%;,0条评论
" 【新华书店,正品】机器学习实战,人民邮电出版社 【全国多仓就近发货，下单即发，速度保障】","[美] Peter Harrington,李锐,李鹏,曲亚东 等 /2013-06-01  /人民邮电出版社",?138.15,width: 0%;,0条评论
 机器学习算法实践：系统的协同过滤理论及其应用 王建芳 清华大学出版社 ,王建芳 /2018-11-01  /清华大学出版社,?34.50,width: 0%;,0条评论
" 机器学习实战 [美] Peter Harrington ,李锐,*,曲亚东,王 9787115317957 春诚图书专营店","[美] Peter Harrington ,李锐,李鹏,曲亚东,王 /2013-06-01  /人民邮电出版社",?54.50,width: 0%;,0条评论
 机器学习与R语言【新华书店 品质担当】 评价有礼 部分书籍满88包邮 全国就近发货 85%城市次日送达！,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?63.50,width: 0%;,0条评论
 机器学习系统设计:Python语言实现 [美] 戴维?朱利安(David Julian) 正版现货，放心购买，请注意售价与定价，有任何问题及时联系在线客服!,[美] 戴维?朱利安(David Julian) /2017-06-01  /机械工业出版社,?37.00,width: 0%;,0条评论
 【正版包邮】 机器学习：算法背后的理论与优化 ,史春奇、卜晶t、施智平 /2019-06-01  /清华大学出版社,?69.30,width: 0%;,0条评论
 机器学习:使用OpenCV和Python进行智能图像处理 机械工业出版社 [有问题请联系在线客服],王磊 译 /2018-11-01  /机械工业出版社,?48.20,width: 0%;,0条评论
" 机器学习 (美)詹森?贝尔(Jason Bell) 著;邹伟,王燕妮 译机械工业出版社 正版现货，有问题请联系在线客服！","(美)詹森?贝尔(Jason Bell) 著;邹伟,王燕妮 /2018-04-01  /机械工业出版社",?85.05,width: 0%;,0条评论
 机器学习算法原理与编程实践 郑捷 著电子工业出版社 正版现货，有问题请联系在线客服！,郑捷 著 /2015-10-01  /电子工业出版社,?112.70,width: 0%;,0条评论
 [新华书店]机器学习中的基本算法范丽亚科学出版社9787030652027 正版现货 5件包邮,范丽亚 /2020-06-01  /科学出版社,?90.16,width: 0%;,0条评论
" 【新华书店rt】机器学习,(美)詹森?贝尔(Jason Bell) 著;邹伟,王燕妮 译,机械工业出版社, 97871 ","(美)詹森?贝尔(Jason Bell) 著;邹伟,王燕妮 /2018-04-01  /机械工业出版社",?72.32,width: 0%;,0条评论
 机器学习入到实战DMATLAB 实践应用 冷雨泉，张会文，张伟 著 9787302495147 【正版书籍】 闪电发货 可开发票！！,冷雨泉，张会文，张伟 著 /2019-02-01  /清华大学出版社,?47.20,width: 0%;,0条评论
 机器学习实践指南［英］阿图尔?特里帕蒂9787111592129 【本店满129送定价198精美套装图书】 正版图书，欢迎选购，有问题联系在线客服，谢谢,［英］阿图尔?特里帕蒂 /2017-03-01  /机械工业出版社,?84.00,width: 0%;,0条评论
 机器学习:从公理到算法 于剑 (有问题联系在线客服）,于剑 /2017-07-01  /清华大学出版社,?51.20,width: 0%;,0条评论
 机器学习导论 正版书籍，有问题请联系在线客服！,"米罗斯拉夫.库巴特,王勇 /2018-10-01  /机械工业出版社",?70.23,width: 0%;,0条评论
" [正版现货]机器学习算法实践,王建芳,清华大学出版社,9787302507833 满5件包邮",王建芳 /2018-11-01  /清华大学出版社,?62.24,width: 0%;,0条评论
 机器学习:Go语言实现 【正版书籍，有问题请随时联系在线客服】(支持7天无理由退货！！),"[美]丹尼尔?怀特纳克（DanielWhitenack）,谢文江, /2018-11-01  /机械工业出版社",?55.10,width: 0%;,0条评论
 机器学习及其应用2019 于剑，封举富，张敏灵，俞扬 编清华大学出版社 正版现货，有问题请联系在线客服！,于剑，封举富，张敏灵，俞扬 编 /2019-12-01  /清华大学出版社,?91.60,width: 0%;,0条评论
 机器学习入门到实战DMATLAB 实践应用 冷雨泉，张会文，张伟 著清华大学出版社 正版现货，有问题请联系在线客服！,冷雨泉，张会文，张伟 著 /2019-02-01  /清华大学出版社,?80.50,width: 0%;,0条评论
 机器学习算法原理与编程实践 郑捷 著 电子工业出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],郑捷 著 /2015-10-01  /电子工业出版社,?48.61,width: 0%;,0条评论
 【正版现货】机器学习与R语言(原书第2版) (美)布雷特?兰茨(Brett Lantz) 9787111553281 正版图书质量 保证七天无理由退货让您购物无忧 全场五件起包邮 70%城市次日达,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?69.28,width: 0%;,0条评论
 机器学习：从公理到算法 于剑 9787302471363 全新正版,于剑 /2017-07-01  /清华大学出版社,?58.40,width: 0%;,1条评论
" [正版现货]机器学习入门到实战DMATLAB 实践应用,冷雨泉，张会文，张伟 著,清华大学出版社,9787302495 满5件包邮",冷雨泉，张会文，张伟 著 /2019-02-01  /清华大学出版社,?59.16,width: 0%;,0条评论
 【全4册】机器学习 周志华著+机器学习与应用 雷明著+机器学习实战+深度学习 人工智能算法，机器学习奠基之作，AI圣经 ,暂无 /2019-01-01  /清华大学出版社 人民邮电出版社,?355.00,width: 100%;,22条评论
 机器学习Web应用 机器学习 算法 软件开发 web机器学习系统开发教程书 python机器学习算法深度学习 web系 ,爱索尼克 /2019-09-30  /人民邮电出版社,?59.00,width: 0%;,0条评论
 人工智能入门书籍 机器学习实战 基于Python代码 周志华西瓜书机器学习入门教程书籍深度学习框架实战方法基础教程书 ,(美)Harrington /2020-08-17  /人民邮电出版社,?69.10,width: 0%;,0条评论
 【正版全新直发】机器学习与R语言(原书第2版) (美)布雷特?兰茨(Brett Lantz) 机械工业出版社97871 全店商品满3件包邮,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?68.88,width: 0%;,0条评论
 机器学习实战 [美] Peter Harrington 著，李锐，*，曲亚东 等 译人民邮电出版社 因书籍批量采集上架，套装书籍默认为其中一本。,[美] Peter Harrington 著，李锐，李鹏，曲 /2013-06-01  /人民邮电出版社,?160.50,width: 0%;,0条评论
 【全新直发】机器学习与R语言(原书第2版) (美)布雷特?兰茨(Brett Lantz) 9787111553281 ,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?68.38,width: 0%;,0条评论
 机器学习算法原理与编程实践 郑捷 著 电子工业出版社 【正版书籍 闪电发货 优质服务 电子发票 放心下单】,郑捷 著 /2015-10-01  /电子工业出版社,?88.00,width: 0%;,0条评论
 机器学习实战 [美] Peter Harrington 著，李锐，*，曲亚东，王 9787115317957 人民邮电 ,[美] Peter Harrington 著，李锐，李鹏， /2013-06-01  /人民邮电出版社,?41.44,width: 0%;,0条评论
 机器学习:使用OpenCV和Python进行智能图像处理 王磊 译 9787111611516【正版现货 闪电发货】 正版保证，可开发票 全国三仓发货 物流有保障！,王磊 译 /2018-11-01  /机械工业出版社,?55.20,width: 0%;,0条评论
 机器学习及其应用2019 于剑，封举富，张敏灵，俞扬 编清华大学出版社9787302544357FX 正版图书，可开发票。,于剑，封举富，张敏灵，俞扬 编 /2019-12-01  /清华大学出版社,?73.90,width: 0%;,0条评论
 【全3册】机器学习 周志华著+机器学习与应用 雷明著+机器学习实战 ,周志华、雷明等 /2019-01-01  /清华大学出版社 人民邮电出版社,?225.00,width: 100%;,1条评论
 机器学习及其应用2019 于剑，封举富，张敏灵，俞扬 编 9787302544357 ,于剑，封举富，张敏灵，俞扬 编 /2019-12-01  /清华大学出版社,?57.06,width: 0%;,0条评论
 机器学习实战（python基础教程指南）机器学习书籍python基础教程书python实战与机器学习基础入门pytho ,Peter harrington /2010-01-01  /人民邮电出版社,?70.20,width: 0%;,0条评论
" 机器学习经典算法剖析 基于OpenCV,赵春江,9787115482136,人民邮电出版社,[质量保证,放心购买] [正版图书，可开发票，下单速发]",赵春江 /2018-08-01  /人民邮电出版社,?48.91,width: 0%;,0条评论
" 机器学习 (美)詹森?贝尔(Jason Bell) 著;邹伟,王燕妮 译 机械工业出版社【正版图书，售后无忧，放心选购 保证正版现货图书，放心购买，有任何问题及时联系在线客服!","(美)詹森?贝尔(Jason Bell) 著;邹伟,王燕妮 /2018-04-01  /机械工业出版社",?72.11,width: 0%;,0条评论
" 机器学习及其应用2013 张长水,杨强 9787302336198 清华大学出版社 【正版现货 可开发票 下单即发】请看详情，有问题咨询在线客服或者电话联系我们！","张长水,杨强 /2013-10-01  /清华大学出版社",?25.00,width: 0%;,0条评论
 机器学习基础D原理、算法与实践 袁梅宇 (有问题联系在线客服）,袁梅宇 /2018-08-01  /清华大学出版社,?56.70,width: 0%;,0条评论
 机器学习算法实践 王建芳 清华大学出版社 书籍因批量采集上架，套装书籍默认是其中一本。,王建芳 /2018-11-01  /清华大学出版社,?56.00,width: 0%;,0条评论
 【正版直发】机器学习实践指南［英］阿图尔?特里帕蒂机械工业出版社 新书店购书无忧有保障！,［英］阿图尔?特里帕蒂 /2017-03-01  /机械工业出版社,?55.00,width: 0%;,0条评论
 机器学习与R语言实战 丘?v玮 著，潘怡 译 机械工业出版社【正版书籍 品质保证】 全店满89元随机赠送图书一本（详情咨询客服）部分地区（包括但不限于新疆，西藏，青海）暂不参与本次活动,丘?v玮 著，潘怡 译 /2016-05-01  /机械工业出版社,?91.45,width: 0%;,0条评论
 机器学习与R语言 (美)兰兹 著，李洪成，许金炜，李舰 译 (有问题联系在线客服）,(美)兰兹 著，李洪成，许金炜，李舰 译 /2015-03-01  /机械工业出版社,?24.00,width: 0%;,0条评论
" 机器学习入门到实战DDMATLAB 实践应用,冷雨泉 张会文 张伟,清华大学出版社【正版图书 放心购 】 海量好书 达额立减 售后无忧",冷雨泉 张会文 张伟 /2019-02-01  /清华大学出版社,?57.72,width: 0%;,0条评论
 【全2册】机器学习 周志华著+机器学习与应用 雷明著 全新正版 2本书,周志华、雷明 /2019-01-01  /清华大学出版社,?170.00,width: 0%;,0条评论
 机器学习基础D原理、算法与实践 袁梅宇 9787302500148 【正版书籍】 闪电发货 可开发票！！,袁梅宇 /2018-08-01  /清华大学出版社,?55.20,width: 0%;,0条评论
" [正版现货]机器学习经典算法剖析 基于OpenCV,赵春江 著,人民邮电出版社,9787115482136 满5件包邮",赵春江 著 /2018-08-01  /人民邮电出版社,?62.24,width: 0%;,0条评论
 机器学习实践指南［英］阿图尔?特里帕蒂 新书店，多仓发货，购书无忧有保障！,［英］阿图尔?特里帕蒂 /2017-03-01  /机械工业出版社,?54.00,width: 0%;,0条评论
 机器学习与R语言(原书第2版)(美)布雷特?兰茨(Brett Lantz)机械工业出版社 新书店购书无忧有保障！,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?37.00,width: 0%;,0条评论
 机器学习经典算法剖析 基于OpenCV，赵春江 著，人民邮电出版社，【正版现货 闪电发货】 正版保证，可开发票 全国三仓发货 物流有保障！,赵春江 著 /2018-08-01  /人民邮电出版社,?51.75,width: 0%;,0条评论
 机器学习入门到实战DMATLAB 实践应用 冷雨泉，张会文，张伟 著 清华大学出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],冷雨泉，张会文，张伟 著 /2019-02-01  /清华大学出版社,?39.97,width: 0%;,0条评论
 机器学习入门到实战DDMATLAB 实践应用 冷雨泉 张会文 张伟 清华大学出版社 正版书籍，放心下单,冷雨泉，张会文，张伟 著 /2019-02-01  /清华大学出版社,?37.00,width: 0%;,0条评论
" 机器学习:Go语言实现 [美]丹尼尔?怀特纳克（DanielWhitenack）,谢文江, 机械工业出版社【图书质量保 全店满89元随机赠送图书一本（详情咨询客服）部分地区（包括但不限于新疆，西藏，青海）暂不参与本次活动","[美]丹尼尔?怀特纳克（DanielWhitenack）,谢 /2018-11-01  /机械工业出版社",?49.70,width: 0%;,0条评论
 机器学习从入门到入职:用sklearn与keras搭建人工智能模型 张威 机器学习入门书籍 Sklearn和Keras ,张威 /2020-08-17  /电子工业出版社,?98.50,width: 0%;,0条评论
" 机器学习与R语言 [美] Brett Lantz,李洪成,许金炜,李舰 机械工业出版社 9787111491576 ","[美] Brett Lantz,李洪成,许金炜,李舰 /2015-04-01  /机械工业出版社",?109.80,width: 0%;,0条评论
 机器学习及其应用2019 于剑，封举富，张敏灵，俞扬 编清华大学出版社9787302544357FX 正版书籍，放心下单。,于剑，封举富，张敏灵，俞扬 编 /2019-12-01  /清华大学出版社,?73.90,width: 0%;,0条评论
" [正版现货]机器学习实战,[美] Peter Harrington 著，李锐，*，曲亚东，王,人民邮电出版社,9787 满5件包邮",[美] Peter Harrington 著，李锐，李鹏， /2013-06-01  /人民邮电出版社,?62.24,width: 0%;,0条评论
 机器学习 Python实践 魏贞原 Python机器学习入门图书 Python编程语言教程从入门到精通 Python编 ,魏贞原 /2018-01-01  /电子工业出版社,?56.00,width: 0%;,0条评论
 机器学习基础D原理、算法与实践 袁梅宇 清华大学出版社【正版图书 品质保证 售后无忧】 全店满89元随机赠送图书一本（详情咨询客服）部分地区（包括但不限于新疆，西藏，青海）暂不参与本次活动,袁梅宇 /2018-08-01  /清华大学出版社,?56.01,width: 0%;,0条评论
" 【正版全新直发】机器学习实战 [美] Peter Harrington,李锐,*,曲亚东 等 978711531795 全店商品满3件包邮","[美] Peter Harrington,李锐,李鹏,曲亚东 等 /2013-06-01  /人民邮电出版社",?68.98,width: 0%;,0条评论
" 【新华书店】机器学习基础D原理、算法与实践,袁梅宇,清华大学出版社, 9787302500148 ",袁梅宇 /2018-08-01  /清华大学出版社,?65.41,width: 0%;,0条评论
" 机器学习导论 米罗斯拉夫.库巴特,王勇 机械工业出版社【正版图书 品质保证 售后无忧】 全店满89元随机赠送图书一本（详情咨询客服）部分地区（包括但不限于新疆，西藏，青海）暂不参与本次活动","米罗斯拉夫.库巴特,王勇 /2018-10-01  /机械工业出版社",?70.23,width: 0%;,0条评论
" 机器学习算法,机械工业出版社,朱塞佩?博纳科尔索(Giuseppe Bonaccor9787111595137 正版书籍，放心下单",[意] ?朱塞佩?博纳科尔索 著，罗娜等译 译 /2018-05-01  /机械工业出版社,?44.00,width: 0%;,0条评论
 机器学习系统设计:Python语言实现 [美] 戴维?朱利安(David Julian)机械工业出版社 因书籍批量采集上架，套装书籍默认为其中一本。,[美] 戴维?朱利安(David Julian) /2017-06-01  /机械工业出版社,?59.25,width: 0%;,0条评论
 【正版直发】机器学习线性代数基础 Python语言描述 张雨萌 著 北京大学出版社 正版书籍，放心下单,张雨萌 著 /2019-08-01  /北京大学出版社,?36.00,width: 0%;,0条评论
